N	numinstance	numrun	fitness	budget	comment
100	4	90	5249	10065	numrun=seed
100	4	91	5253	10325	numrun=seed
100	4	92	5303	10066	numrun=seed
100	4	93	5303	12009	numrun=seed
100	5	0	4497	12511	numrun=seed
100	5	1	4498	11735	numrun=seed
100	5	2	4453	9466	numrun=seed
100	5	3	4498	10648	numrun=seed
100	5	4	4402	7775	numrun=seed
100	5	5	4498	11639	numrun=seed
100	5	6	4498	10328	numrun=seed
100	5	7	4498	12582	numrun=seed
100	5	8	4497	9795	numrun=seed
100	5	9	4498	8643	numrun=seed
100	5	10	4498	10953	numrun=seed
100	5	11	4453	11663	numrun=seed
100	5	12	4497	9233	numrun=seed
100	5	13	4497	12411	numrun=seed
100	5	14	4497	9574	numrun=seed
100	5	15	4497	11526	numrun=seed
100	5	16	4498	9786	numrun=seed
100	5	17	4498	9264	numrun=seed
100	5	18	4498	11612	numrun=seed
100	5	19	4387	10149	numrun=seed
100	5	20	4498	9583	numrun=seed
100	5	21	4498	10127	numrun=seed
100	5	22	4497	9909	numrun=seed
100	5	23	4497	10831	numrun=seed
100	5	24	4497	10915	numrun=seed
100	5	25	4498	12627	numrun=seed
100	5	26	4497	12238	numrun=seed
100	5	27	4498	14633	numrun=seed
100	5	28	4497	9224	numrun=seed
100	5	29	4498	10691	numrun=seed
100	5	30	4498	11445	numrun=seed
100	5	31	4497	8708	numrun=seed
100	5	32	4498	10089	numrun=seed
100	5	33	4498	11121	numrun=seed
100	5	34	4497	9266	numrun=seed
100	5	35	4497	11770	numrun=seed
100	5	36	4498	10220	numrun=seed
100	5	37	4497	12816	numrun=seed
100	5	38	4498	11834	numrun=seed
100	5	39	4498	10135	numrun=seed
100	5	40	4497	10391	numrun=seed
100	5	41	4498	10336	numrun=seed
100	5	42	4498	11540	numrun=seed
100	5	43	4497	11359	numrun=seed
100	5	44	4497	12615	numrun=seed
100	5	45	4498	11648	numrun=seed
100	5	46	4498	10087	numrun=seed
100	5	47	4498	10833	numrun=seed
100	5	48	4498	9163	numrun=seed
100	5	49	4498	13388	numrun=seed
100	5	50	4497	12061	numrun=seed
100	5	51	4467	9986	numrun=seed
100	5	52	4497	12177	numrun=seed
100	5	53	4497	11614	numrun=seed
100	5	54	4497	11791	numrun=seed
100	5	55	4498	11576	numrun=seed
100	5	56	4453	9680	numrun=seed
100	5	57	4498	10384	numrun=seed
100	5	58	4498	10017	numrun=seed
100	5	59	4498	10155	numrun=seed
100	5	60	4498	11197	numrun=seed
100	5	61	4497	8467	numrun=seed
100	5	62	4498	11500	numrun=seed
100	5	63	4497	11926	numrun=seed
100	5	64	4497	9956	numrun=seed
100	5	65	4472	8813	numrun=seed
100	5	66	4498	9879	numrun=seed
100	5	67	4498	9931	numrun=seed
100	5	68	4498	11065	numrun=seed
100	5	69	4498	10065	numrun=seed
100	5	70	4497	10387	numrun=seed
100	5	71	4453	9699	numrun=seed
100	5	72	4498	10200	numrun=seed
100	5	73	4498	12427	numrun=seed
100	5	74	4498	9798	numrun=seed
100	5	75	4497	10794	numrun=seed
100	5	76	4498	11204	numrun=seed
100	5	77	4498	7991	numrun=seed
100	5	78	4498	10394	numrun=seed
100	5	79	4498	13928	numrun=seed
100	5	80	4498	10396	numrun=seed
100	5	81	4498	11013	numrun=seed
100	5	82	4498	10357	numrun=seed
100	5	83	4453	9041	numrun=seed
100	5	84	4497	9731	numrun=seed
100	5	85	4498	9970	numrun=seed
100	5	86	4498	11186	numrun=seed
100	5	87	4498	11638	numrun=seed
100	5	88	4472	10672	numrun=seed
100	5	89	4498	9943	numrun=seed
100	5	90	4472	10332	numrun=seed
100	5	91	4497	10955	numrun=seed
100	5	92	4405	10295	numrun=seed
100	6	0	5173	9385	numrun=seed
100	6	1	5207	7754	numrun=seed
100	6	2	5222	10249	numrun=seed
100	6	3	5222	9066	numrun=seed
100	6	4	5213	10937	numrun=seed
100	6	5	5222	11616	numrun=seed
100	6	6	5211	11708	numrun=seed
100	6	7	5173	10394	numrun=seed
100	6	8	5228	11392	numrun=seed
100	6	9	5228	11693	numrun=seed
100	6	10	5207	8546	numrun=seed
100	6	11	5207	10196	numrun=seed
100	6	12	5228	9370	numrun=seed
100	6	13	5222	11640	numrun=seed
100	6	14	5201	10468	numrun=seed
100	6	15	5207	10178	numrun=seed
100	6	16	5235	10880	numrun=seed
100	6	17	5125	10505	numrun=seed
100	6	18	5214	8918	numrun=seed
100	6	19	5214	8262	numrun=seed
100	6	20	5181	10900	numrun=seed
100	6	21	5214	9784	numrun=seed
100	6	22	5211	11373	numrun=seed
100	6	23	5207	10528	numrun=seed
100	6	24	5222	8981	numrun=seed
100	6	25	5181	11185	numrun=seed
100	6	26	5228	10866	numrun=seed
100	6	27	5221	13169	numrun=seed
100	6	28	5222	11122	numrun=seed
100	6	29	5222	9621	numrun=seed
100	6	30	5207	9268	numrun=seed
100	6	31	5207	11608	numrun=seed
100	6	32	5207	7629	numrun=seed
100	6	33	5207	8503	numrun=seed
100	6	34	5211	10274	numrun=seed
100	6	35	5222	11483	numrun=seed
100	6	36	5228	10597	numrun=seed
100	6	37	5235	10473	numrun=seed
100	6	38	5222	11575	numrun=seed
100	6	39	5214	10169	numrun=seed
100	6	40	5243	10412	numrun=seed
100	6	41	5228	8797	numrun=seed
100	6	42	5222	9216	numrun=seed
100	6	43	5228	9557	numrun=seed
100	6	44	5222	12222	numrun=seed
100	6	45	5207	7980	numrun=seed
100	6	46	5228	10420	numrun=seed
100	6	47	5207	8584	numrun=seed
100	6	48	5222	10695	numrun=seed
100	6	49	5222	9197	numrun=seed
100	6	50	5235	11240	numrun=seed
100	6	51	5199	8478	numrun=seed
100	6	52	5211	10268	numrun=seed
100	6	53	5228	12577	numrun=seed
100	6	54	5235	11580	numrun=seed
100	6	55	5222	11051	numrun=seed
100	6	56	5207	9184	numrun=seed
100	6	57	5205	11996	numrun=seed
100	6	58	5243	10989	numrun=seed
100	6	59	5211	12018	numrun=seed
100	6	60	5222	11188	numrun=seed
100	6	61	5235	12115	numrun=seed
100	6	62	5207	8041	numrun=seed
100	6	63	5235	11489	numrun=seed
100	6	64	5219	11116	numrun=seed
100	6	65	5195	8955	numrun=seed
100	6	66	5211	9698	numrun=seed
100	6	67	5214	10188	numrun=seed
100	6	68	5222	9868	numrun=seed
100	6	69	5209	13979	numrun=seed
100	6	70	5211	11659	numrun=seed
100	6	71	5222	11805	numrun=seed
100	6	72	5222	10966	numrun=seed
100	6	73	5243	9388	numrun=seed
100	6	74	5201	9853	numrun=seed
100	6	75	5211	10077	numrun=seed
100	6	76	5207	8189	numrun=seed
100	6	77	5222	9603	numrun=seed
100	6	78	5228	7214	numrun=seed
100	6	79	5211	10555	numrun=seed
100	6	80	5235	12139	numrun=seed
100	6	81	5222	11924	numrun=seed
100	6	82	5214	10279	numrun=seed
100	6	83	5221	11612	numrun=seed
100	6	84	5222	10837	numrun=seed
100	6	85	5222	8596	numrun=seed
100	6	86	5207	9683	numrun=seed
100	6	87	5207	8657	numrun=seed
100	6	88	5211	8917	numrun=seed
100	6	89	5222	9575	numrun=seed
100	6	90	5222	10372	numrun=seed
100	6	91	5222	9532	numrun=seed
100	6	92	5198	12445	numrun=seed
100	6	93	5201	11349	numrun=seed
100	6	94	5222	12647	numrun=seed
100	6	95	5181	11734	numrun=seed
100	7	0	4973	13936	numrun=seed
100	7	1	4973	12803	numrun=seed
100	7	2	4957	8940	numrun=seed
100	7	3	4962	11148	numrun=seed
100	7	4	4964	10994	numrun=seed
100	7	5	4982	11985	numrun=seed
100	7	6	4982	10950	numrun=seed
100	7	7	4982	12326	numrun=seed
100	7	8	4990	11419	numrun=seed
100	7	9	4962	10664	numrun=seed
100	7	10	4962	10399	numrun=seed
100	7	11	5015	10202	numrun=seed
100	7	12	4973	8785	numrun=seed
100	7	13	4990	11142	numrun=seed
100	7	14	4954	10821	numrun=seed
100	7	15	4973	12330	numrun=seed
100	7	16	4987	10268	numrun=seed
100	7	17	4964	13408	numrun=seed
100	7	18	4987	10261	numrun=seed
100	7	19	4982	12476	numrun=seed
100	7	20	4993	10218	numrun=seed
100	7	21	4948	9263	numrun=seed
100	7	22	4990	10945	numrun=seed
100	7	23	5015	10674	numrun=seed
100	7	24	4982	10632	numrun=seed
100	7	25	4973	11863	numrun=seed
100	7	26	4990	11428	numrun=seed
100	7	27	4957	8896	numrun=seed
100	7	28	4990	11819	numrun=seed
100	7	29	4990	10782	numrun=seed
100	7	30	4934	10268	numrun=seed
100	7	31	4943	10127	numrun=seed
100	7	32	4984	9228	numrun=seed
100	7	33	4973	12807	numrun=seed
100	7	34	4990	10081	numrun=seed
100	7	35	4973	13632	numrun=seed
100	7	36	4964	13087	numrun=seed
100	7	37	4999	10076	numrun=seed
100	7	38	4964	7945	numrun=seed
100	7	39	4957	9798	numrun=seed
100	7	40	4959	9751	numrun=seed
100	7	41	4964	10678	numrun=seed
100	7	42	4948	10526	numrun=seed
100	7	43	4951	9452	numrun=seed
100	7	44	4985	12170	numrun=seed
100	7	45	4984	10048	numrun=seed
100	7	46	4962	11998	numrun=seed
100	7	47	4957	12431	numrun=seed
100	7	48	4999	10812	numrun=seed
100	7	49	5015	12582	numrun=seed
100	7	50	4982	10635	numrun=seed
100	7	51	5015	9464	numrun=seed
100	7	52	4962	10291	numrun=seed
100	7	53	4982	9358	numrun=seed
100	7	54	4993	8136	numrun=seed
100	7	55	4990	11082	numrun=seed
100	7	56	4974	9303	numrun=seed
100	7	57	4984	9592	numrun=seed
100	7	58	4999	11594	numrun=seed
100	7	59	4999	10628	numrun=seed
100	7	60	4973	10714	numrun=seed
100	7	61	4982	11325	numrun=seed
100	7	62	4962	11865	numrun=seed
100	7	63	4999	11919	numrun=seed
100	7	64	4971	10299	numrun=seed
100	7	65	4999	9517	numrun=seed
100	7	66	4990	10552	numrun=seed
100	7	67	4999	10686	numrun=seed
100	7	68	4982	12260	numrun=seed
100	7	69	4969	8894	numrun=seed
100	7	70	4990	11932	numrun=seed
100	7	71	4950	10935	numrun=seed
100	7	72	4948	10636	numrun=seed
100	7	73	5015	10190	numrun=seed
100	7	74	4978	11743	numrun=seed
100	7	75	4948	10537	numrun=seed
100	7	76	4974	7520	numrun=seed
100	7	77	4962	9630	numrun=seed
100	7	78	4984	11519	numrun=seed
100	7	79	5015	11127	numrun=seed
100	7	80	4973	12293	numrun=seed
100	7	81	4982	9493	numrun=seed
100	7	82	4964	9167	numrun=seed
