type	N	numinstance	numrun	budget	fitness	comment
cbs	100	9	1	100000	427	seed=numrun*10^6
cbs	100	0	2	10000	428	seed=numrun*10^6
cbs	100	0	2	100000	428	seed=numrun*10^6
cbs	100	1	2	10000	428	seed=numrun*10^6
cbs	100	1	2	100000	428	seed=numrun*10^6
cbs	100	2	2	10000	428	seed=numrun*10^6
cbs	100	2	2	100000	428	seed=numrun*10^6
cbs	100	3	2	10000	428	seed=numrun*10^6
cbs	100	3	2	100000	428	seed=numrun*10^6
cbs	100	4	2	10000	428	seed=numrun*10^6
cbs	100	4	2	100000	428	seed=numrun*10^6
cbs	100	5	2	10000	428	seed=numrun*10^6
cbs	100	5	2	100000	428	seed=numrun*10^6
cbs	100	6	2	10000	428	seed=numrun*10^6
cbs	100	6	2	100000	428	seed=numrun*10^6
cbs	100	7	2	10000	428	seed=numrun*10^6
cbs	100	7	2	100000	428	seed=numrun*10^6
cbs	100	8	2	10000	428	seed=numrun*10^6
cbs	100	8	2	100000	428	seed=numrun*10^6
cbs	100	9	2	10000	428	seed=numrun*10^6
cbs	100	9	2	100000	428	seed=numrun*10^6
cbs	100	0	3	10000	425	seed=numrun*10^6
cbs	100	0	3	100000	428	seed=numrun*10^6
cbs	100	1	3	10000	425	seed=numrun*10^6
cbs	100	1	3	100000	428	seed=numrun*10^6
cbs	100	2	3	10000	425	seed=numrun*10^6
cbs	100	2	3	100000	428	seed=numrun*10^6
cbs	100	3	3	10000	425	seed=numrun*10^6
cbs	100	3	3	100000	428	seed=numrun*10^6
cbs	100	4	3	10000	425	seed=numrun*10^6
cbs	100	4	3	100000	428	seed=numrun*10^6
cbs	100	5	3	10000	425	seed=numrun*10^6
cbs	100	5	3	100000	428	seed=numrun*10^6
cbs	100	6	3	10000	425	seed=numrun*10^6
cbs	100	6	3	100000	428	seed=numrun*10^6
cbs	100	7	3	10000	425	seed=numrun*10^6
cbs	100	7	3	100000	428	seed=numrun*10^6
cbs	100	8	3	10000	425	seed=numrun*10^6
cbs	100	8	3	100000	428	seed=numrun*10^6
cbs	100	9	3	10000	425	seed=numrun*10^6
cbs	100	9	3	100000	428	seed=numrun*10^6
cbs	100	0	4	10000	423	seed=numrun*10^6
cbs	100	0	4	100000	427	seed=numrun*10^6
cbs	100	1	4	10000	423	seed=numrun*10^6
cbs	100	1	4	100000	427	seed=numrun*10^6
cbs	100	2	4	10000	423	seed=numrun*10^6
cbs	100	2	4	100000	427	seed=numrun*10^6
cbs	100	3	4	10000	423	seed=numrun*10^6
cbs	100	3	4	100000	427	seed=numrun*10^6
cbs	100	4	4	10000	423	seed=numrun*10^6
cbs	100	4	4	100000	427	seed=numrun*10^6
cbs	100	5	4	10000	423	seed=numrun*10^6
cbs	100	5	4	100000	427	seed=numrun*10^6
cbs	100	6	4	10000	423	seed=numrun*10^6
cbs	100	6	4	100000	427	seed=numrun*10^6
cbs	100	7	4	10000	423	seed=numrun*10^6
cbs	100	7	4	100000	427	seed=numrun*10^6
cbs	100	8	4	10000	423	seed=numrun*10^6
cbs	100	8	4	100000	427	seed=numrun*10^6
cbs	100	9	4	10000	423	seed=numrun*10^6
cbs	100	9	4	100000	427	seed=numrun*10^6
cbs	100	0	5	10000	425	seed=numrun*10^6
cbs	100	0	5	100000	427	seed=numrun*10^6
cbs	100	1	5	10000	425	seed=numrun*10^6
cbs	100	1	5	100000	427	seed=numrun*10^6
cbs	100	2	5	10000	425	seed=numrun*10^6
cbs	100	2	5	100000	427	seed=numrun*10^6
cbs	100	3	5	10000	425	seed=numrun*10^6
cbs	100	3	5	100000	427	seed=numrun*10^6
cbs	100	4	5	10000	425	seed=numrun*10^6
cbs	100	4	5	100000	427	seed=numrun*10^6
